feature,importance
spo2_deficit,0.26914024
news2_spo2,0.26617357
spo2,0.22090738
pain_score,0.083501264
consciousness,0.050860044
news2_total,0.03890792
urine_output,0.026279582
respiratory_rate,0.010351596
resp_distress,0.00724719
news2_avpu,0.0055573517
glucose,0.0054867384
news2_temp,0.0027588194
temperature,0.002325002
systolic_bp,0.002108591
diastolic_bp,0.0017985166
temp_deviation,0.0013350352
map,0.000983077
heart_rate,0.00082586415
news2_sbp,0.00079775095
news2_rr,0.0007495912
shock_index,0.0005716757
pulse_pressure,0.00048086714
age,0.00034212277
ward_encoded,0.00024913833
tachycardia,0.00014558206
news2_hr,0.00011553763
age_group,0.0
gender_encoded,0.0
hypotension,0.0
fever,0.0
shock_indicator,0.0
